[0.63178063 0.38950358]
[0.96541487 0.6166949 ]
[0.96541413 0.61669709]
[0.96541416 0.61669699]
[0.53759311 0.69036319]
[0.53516294 0.69652558]
[0.53759311 0.69036319]
[0.53516294 0.69652558]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27367271 0.61324493]
[0.28797888 0.61082461]
[0.27367271 0.61324493]
[0.28797888 0.61082461]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.92777716 0.49977336]
[0.92777716 0.49977336]
[0.27367271 0.61324493]
[0.28797888 0.61082461]
[0.27367271 0.61324493]
[0.28797888 0.61082461]
[0.27654044 0.56924692]
[0.28222073 0.57069611]
[0.27654044 0.56924692]
[0.28222073 0.57069611]
[0.27367271 0.61324493]
[0.28797888 0.61082461]
[0.27367271 0.61324493]
[0.29795242 0.61398895]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.92777716 0.49977336]
[0.96395108 0.61303211]
[0.94956135 0.61177109]
[0.9599892  0.61082317]
[0.95627927 0.62191916]
[0.53759311 0.69036319]
[0.53516294 0.69652558]
[0.53759311 0.69036319]
[0.53516294 0.69652558]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27214176 0.60444587]
[0.28630557 0.60116934]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.27476381 0.56374084]
[0.27987662 0.56523347]
[0.92777716 0.49977335]
[0.92777716 0.49977336]
[0.96541397 0.61669758]
[0.96541476 0.61669522]
[0.96541489 0.61669482]
[0.92226442 0.50145256]
[0.92226442 0.50145256]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.51828933 0.61330696]
[0.51163918 0.60161952]
[0.29071104 0.68771354]
[0.29364757 0.70270859]
[0.29071104 0.68771354]
[0.29364757 0.70270859]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.26904606 0.5978635 ]
[0.28301781 0.59430791]
[0.27109385 0.56003808]
[0.27500202 0.56122263]
[0.27109385 0.56003808]
[0.27500202 0.56122263]
[0.93773591 0.38202704]
[0.9377359  0.38202696]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
[0.83202916 0.41192898]
